"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Панель Автоматизации API","0","Управление питомцами (/pet)","2","0","Получение данных питомца","0"
"0","Панель Автоматизации API","0","Управление пользователями (/user)","2","0","Аутентификация","0"
"0","Панель Автоматизации API","0","Управление питомцами (/pet)","1","1","Управление питомцами (/pet)","0"
"0","Панель Автоматизации API","0","Управление пользователями (/user)","1","0","Обновление профиля","0"
"0","Панель Автоматизации API","0","Склад и Заказы (/store)","2","0","Получение деталей заказа","0"
"0","Панель Автоматизации API","0","Управление питомцами (/pet)","1","0","Удаление питомца","0"
"0","Панель Автоматизации API","0","Склад и Заказы (/store)","1","0","Удаление заказа","0"
"0","Панель Автоматизации API","0","Управление питомцами (/pet)","1","0","Загрузка медиа-файлов","0"
"0","Панель Автоматизации API","0","Управление пользователями (/user)","2","1","Создание пользователей","0"
"0","Панель Автоматизации API","0","Управление питомцами (/pet)","1","0","Поиск питомцев по статусу","0"
"0","Панель Автоматизации API","0","Управление питомцами (/pet)","2","0","Обновление данных питомца","0"
"0","Панель Автоматизации API","0","Управление пользователями (/user)","1","0","Получение данных пользователя","0"
"0","Панель Автоматизации API","0","Склад и Заказы (/store)","1","1","Размещение заказов","0"
"0","Панель Автоматизации API","0","Склад и Заказы (/store)","1","0","Инвентарь склада","0"
"0","Панель Автоматизации API","0","Управление пользователями (/user)","1","0","Удаление пользователей","0"
"0","Панель Автоматизации API","0","Управление питомцами (/pet)","1","0","Успешное создание питомца","0"
