"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","API-PET-11: Негативный тест: Получение по несуществующему ID","tests","2026-05-29","passed","2026-05-29","TestPet","test_pet","",""
"","9","API-USER-04: Успешный выход из системы (logout)","tests","2026-05-29","passed","2026-05-29","TestUser","test_user","",""
"","19","API-PET-15: Негативный тест: Повторное удаление (нарушение идемпотентности)","tests","2026-05-29","passed","2026-05-29","TestPet","test_pet","",""
"","17","API-USER-05: Обновление профиля через PUT","tests","2026-05-29","passed","2026-05-29","TestUser","test_user","",""
"","9","API-STORE-03: Получение заказа по его ID","tests","2026-05-29","passed","2026-05-29","TestStore","test_store","",""
"","28","API-PET-08: Удаление питомца по ID","tests","2026-05-29","passed","2026-05-29","TestPet","test_pet","",""
"","26","API-STORE-04: Удаление существующего заказа","tests","2026-05-29","passed","2026-05-29","TestStore","test_store","",""
"","10","API-PET-09: Загрузка изображения для питомца","tests","2026-05-29","passed","2026-05-29","TestPet","test_pet","",""
"","9","API-STORE-08: Негативный тест: Получение несуществующего заказа","tests","2026-05-29","passed","2026-05-29","TestStore","test_store","",""
"","44","API-USER-07: Пакетное создание пользователей через createWithArray","tests","2026-05-29","passed","2026-05-29","TestUser","test_user","",""
"","10","API-PET-13: Негативный тест: Создание без обязательного имени","tests","2026-05-29","skipped","2026-05-29","TestPet","test_pet","",""
"","31","API-PET-03: Поиск питомцев со статусом available","tests","2026-05-29","passed","2026-05-29","TestPet","test_pet","",""
"","11","API-PET-06: Полное обновление питомца через PUT","tests","2026-05-29","passed","2026-05-29","TestPet","test_pet","",""
"","9","API-USER-02: Получение пользователя по имени (username)","tests","2026-05-29","passed","2026-05-29","TestUser","test_user","",""
"","9","API-USER-03: Успешный логин (вход) пользователя","tests","2026-05-29","passed","2026-05-29","TestUser","test_user","",""
"","9","API-USER-12: Негативный тест: Создание дубликата пользователя (бизнес-логика)","tests","2026-05-29","skipped","2026-05-29","TestUser","test_user","",""
"","59","API-USER-01: Создание одного пользователя с валидными данными","tests","2026-05-29","passed","2026-05-29","TestUser","test_user","",""
"","18","API-STORE-02: Успешное создание заказа питомца","tests","2026-05-29","passed","2026-05-29","TestStore","test_store","",""
"","77","API-STORE-01: Получение карты остатков инвентаря","tests","2026-05-29","passed","2026-05-29","TestStore","test_store","",""
"","20","API-PET-07: Частичное обновление питомца через форму","tests","2026-05-29","passed","2026-05-29","TestPet","test_pet","",""
"","9","API-STORE-11: Негативный тест: Заказ несуществующего питомца (petId)","tests","2026-05-29","skipped","2026-05-29","TestStore","test_store","",""
"","26","API-USER-06: Удаление пользователя по имени","tests","2026-05-29","passed","2026-05-29","TestUser","test_user","",""
"","10","API-PET-02: Получение питомца по ID","tests","2026-05-29","passed","2026-05-29","TestPet","test_pet","",""
"","145","API-PET-01: Создание питомца с валидными данными","tests","2026-05-29","passed","2026-05-29","TestPet","test_pet","",""
